순위,음식점 이름
1,경파
2,이치규 강남신논현점
3,효은옥 본점 (주)아이엠프레쉬
4,(주)송화유수
5,프로티너(PROTEINER) 신논현역점
6,혜장국
7,아소산겐안
8,정돈(강남점)
9,미요
10,스아게 강남점
11,어랑 생선밥상
12,참이맛감자탕
13,갓잇 강남점
14,새벽집
15,청도미나리식당 신논현점
16,오도로키
17,알로하포케 신논현점
18,더 바른 정육식당
19,누리초밥참치
20,파이브가이즈_키오스크_KICC
21,하루
22,인더비엣 신논현역점
23,(주) 리앤한
24,덕자네방앗간
25,일석삼조버섯매운탕
26,남산터 신논현점
27,상무초밥 강남점
28,(유)아웃백스테이크하우스코리아강남교보타워점
29,제프리웍
30,코코이찌방야 강남점
31,샐러디 신논현역점
32,락스타 치킨 신논현점
33,(주)빅바이트컴퍼니 쉐이크쉑 강남대로
34,메이탄강남점
35,싸다김밥 신논현역점
36,써브웨이신논현점
37,도스 타코스 (DOS TACOS)
38,서울집
39,닭갈비전
40,뜨돈 강남 본점
41,(주)파리크라상 리나스 신논현점
42,두꺼비1981
43,중경마라탕
44,파파야 리프(PAPAYA LEAF)
45,위트앤미트
46,연남토마(강남점)
47,호앙비엣 신논현점
48,쿄 베이커리와 더 인피닛 카페
49,순남시래기 신논현역점
50,한감지식당
51,멘야시노기
52,백소정 강남점
53,후추포인트
54,미미옥 강남 신논현점
55,강남삼계탕
56,굴다리식당
57,하늘생태집
58,바리에가타신논현점(주)
59,평가옥 (반포점)
60,해탄 신논현점
61,솔밭삼겹살
62,강남모밀 무이
63,멘카오리
64,대가
65,당근페이(EPAY)_나이스
66,TheHalalGuys(할랄가
67,시골 야채된장
68,버거킹 신논현역점
69,KIS 정보통신_나이스
70,쿠노카츠
71,사보텐 신논현점 ㈜캘리스코
72,초이다이닝 강남점
73,삼육가
74,연하동 신논현점
75,또보겠지떡볶이집강남헬로몽키점
76,브라운돈까스(반포점)
77,아빠곰 수제돈까스
78,대박가야밀면
79,주아 드 비브르
80,어거스트힐
81,우아한감
82,스타벅스코리아
83,온센텐동 강남점
84,그린레시피
85,이식일사
86,스파게티스토리
87,멘츠루
88,라홍방마라탕 강남직영점
89,브릭오븐
90,고양이부엌 교보타워점
91,석암생소금구이 강남
92,이가해장국
93,탁심케밥(TAKSIM KEBAB)
94,봉추찜닭주공공이
95,에스엔컴퍼니 랩
96,주나도리(주)세시서
97,대기정
98,장쌈
99,(주)스타럭스 스폰티니 강남점
100,키오스크(3)_코페이
101,현대순대국
102,힘난다짬뽕앤버거 신논현역점
103,무월식탁 강남점
104,미분당
105,진대감강남역교보타워
106,춘천한옥집
107,성신식당
108,강남교자 칼국수
109,강남원주추어탕
